EP,BP,MOM20,MOM60,ROE,VOL20,TURN20,LIQ20,GROWTH,REV5,label
1.0,0.5458700317044546,0.13129925769496115,0.11887360691100991,0.2615049810084096,0.29604412973616795,0.2338599837628376,0.18299128158654698,0.1503172770304382,0.13658153720890515,0.12342397070440711
0.5458700317044546,1.0,0.15206818011384785,0.2127834392980662,0.3896962251015024,0.3613043958607847,0.2613349024480992,0.4381751397810034,0.17054106850558814,0.19057000188429934,0.12264689657702475
0.13129925769496115,0.15206818011384785,1.0,0.4513233055601873,0.07723663137936941,0.3197320245927715,0.21397040783923335,0.09500589662777277,0.10905662458863151,0.3021926871815043,0.09600054772387634
0.11887360691100991,0.2127834392980662,0.4513233055601873,1.0,0.09845622148478812,0.32525501904461446,0.22279156099722375,0.08808074364254717,0.12549839035868007,0.2158394322134821,0.09039746024074669
0.2615049810084096,0.3896962251015024,0.07723663137936941,0.09845622148478812,1.0,0.0760749596512029,0.06457242433650544,0.44630331602692175,0.24832451490333063,0.1084148744282602,0.06653362661347675
0.29604412973616795,0.3613043958607847,0.3197320245927715,0.32525501904461446,0.0760749596512029,1.0,0.6372229543590825,0.21882593633544256,0.15773274235105625,0.20930682438771409,0.15251343500590328
0.2338599837628376,0.2613349024480992,0.21397040783923335,0.22279156099722375,0.06457242433650544,0.6372229543590825,1.0,0.3725903044389056,0.13528267589582196,0.1352667421344334,0.12755725936111711
0.18299128158654698,0.4381751397810034,0.09500589662777277,0.08808074364254717,0.44630331602692175,0.21882593633544256,0.3725903044389056,1.0,0.06629791123500084,0.11968877064257101,0.10844452845532565
0.1503172770304382,0.17054106850558814,0.10905662458863151,0.12549839035868007,0.24832451490333063,0.15773274235105625,0.13528267589582196,0.06629791123500084,1.0,0.11423716385061344,0.0706047318685798
0.13658153720890515,0.19057000188429934,0.3021926871815043,0.2158394322134821,0.1084148744282602,0.20930682438771409,0.1352667421344334,0.11968877064257101,0.11423716385061344,1.0,0.11609993466846974
0.12342397070440711,0.12264689657702475,0.09600054772387634,0.09039746024074669,0.06653362661347675,0.15251343500590328,0.12755725936111711,0.10844452845532565,0.0706047318685798,0.11609993466846974,1.0
