trade_date,factor,group,rolling_ic
2024-07-09,ROE,IC显著组,-0.12731323734245223
2024-08-06,ROE,IC显著组,-0.06931379333147104
2024-09-03,ROE,IC显著组,-0.10573687323164442
2024-10-10,ROE,IC显著组,-0.13480330105399893
2024-11-07,ROE,IC显著组,-0.20228094452600986
2023-01-10,ROA,其他,-0.10434132197653069
2023-02-14,ROA,其他,-0.15882348109299785
2023-03-14,ROA,其他,-0.17894865890245448
2023-04-12,ROA,其他,-0.19371958690000393
2023-05-15,ROA,其他,-0.1737554191501186
2023-06-12,ROA,其他,-0.09035181721997566
2023-07-12,ROA,其他,-0.07058027801064297
2023-08-09,ROA,其他,-0.0006955765424048488
2023-09-06,ROA,其他,-0.0352493091656834
2023-10-12,ROA,其他,-0.04884394938841524
2023-11-09,ROA,其他,-0.12376925836991114
2023-12-07,ROA,其他,-0.0515009733631434
2024-01-05,ROA,其他,-0.006127253830220489
2024-02-02,ROA,其他,0.07477236249260148
2024-03-11,ROA,其他,0.04389422047191308
2024-04-10,ROA,其他,0.032515590994319006
2024-05-13,ROA,其他,-0.012527785384848231
2024-06-11,ROA,其他,-0.0530887773745623
2024-07-09,ROA,其他,-0.12731323734245223
2024-08-06,ROA,其他,-0.06931379333147104
2024-09-03,ROA,其他,-0.10573687323164442
2024-10-10,ROA,其他,-0.13480330105399893
2024-11-07,ROA,其他,-0.20228094452600986
2023-01-10,VOL20,其他,-0.13893079599712385
2023-02-14,VOL20,其他,-0.1901316878876798
2023-03-14,VOL20,其他,-0.04074191709628198
2023-04-12,VOL20,其他,-0.07500011537671457
2023-05-15,VOL20,其他,0.07540583925976894
2023-06-12,VOL20,其他,-0.05282642541402274
2023-07-12,VOL20,其他,-0.02453844705870815
2023-08-09,VOL20,其他,-0.13606327137015425
2023-09-06,VOL20,其他,-0.12289912440925692
2023-10-12,VOL20,其他,-0.03706838237922453
2023-11-09,VOL20,其他,0.012767936395884026
2023-12-07,VOL20,其他,-0.0736158299846977
2024-01-05,VOL20,其他,-0.18610923355302997
2024-02-02,VOL20,其他,-0.08875266003466724
2024-03-11,VOL20,其他,-0.05254556567007277
2024-04-10,VOL20,其他,-0.0606615570439439
2024-05-13,VOL20,其他,-0.2387299605104485
2024-06-11,VOL20,其他,-0.20767832335819658
2024-07-09,VOL20,其他,-0.11588447563306653
2024-08-06,VOL20,其他,-0.05690900003559194
2024-09-03,VOL20,其他,0.040221867000820394
2024-10-10,VOL20,其他,0.20796565539563963
2024-11-07,VOL20,其他,0.17311725041341552
2023-01-10,TURN20,因果显著组,-0.07174436321656384
2023-02-14,TURN20,因果显著组,-0.08206440741464034
2023-03-14,TURN20,因果显著组,0.004029805901263793
2023-04-12,TURN20,因果显著组,0.0034608139865058146
2023-05-15,TURN20,因果显著组,0.08344288162231162
2023-06-12,TURN20,因果显著组,-0.021212002527054723
2023-07-12,TURN20,因果显著组,-0.027250065822591266
2023-08-09,TURN20,因果显著组,-0.13450201392790304
2023-09-06,TURN20,因果显著组,-0.10422758221465396
2023-10-12,TURN20,因果显著组,-0.03559665015887726
2023-11-09,TURN20,因果显著组,0.05293968118640255
2023-12-07,TURN20,因果显著组,-0.027998596599154425
2024-01-05,TURN20,因果显著组,-0.10733839475925688
2024-02-02,TURN20,因果显著组,-0.061634914676456716
2024-03-11,TURN20,因果显著组,-0.0425226060897996
2024-04-10,TURN20,因果显著组,-0.08845507273610487
2024-05-13,TURN20,因果显著组,-0.22327691549751216
2024-06-11,TURN20,因果显著组,-0.17091364375221443
2024-07-09,TURN20,因果显著组,-0.10588841119851776
2024-08-06,TURN20,因果显著组,-0.08916938144512167
2024-09-03,TURN20,因果显著组,0.006843845898569401
2024-10-10,TURN20,因果显著组,0.1941909345481977
2024-11-07,TURN20,因果显著组,0.20868521774174778
2023-01-10,LIQ20,其他,0.012316158380912698
2023-02-14,LIQ20,其他,0.038273402617825365
2023-03-14,LIQ20,其他,0.09387418382577904
2023-04-12,LIQ20,其他,0.09562602887998693
2023-05-15,LIQ20,其他,0.12809171701260477
2023-06-12,LIQ20,其他,0.014772202007425387
2023-07-12,LIQ20,其他,0.01722406306201556
2023-08-09,LIQ20,其他,-0.07782110565668086
2023-09-06,LIQ20,其他,-0.05262503524652213
2023-10-12,LIQ20,其他,-0.04571219968100113
2023-11-09,LIQ20,其他,0.06032792666104556
2023-12-07,LIQ20,其他,0.009735021554496246
2024-01-05,LIQ20,其他,-0.02069545661297754
2024-02-02,LIQ20,其他,-0.11297578886036957
2024-03-11,LIQ20,其他,-0.08487707049113628
2024-04-10,LIQ20,其他,-0.17094442681644753
2024-05-13,LIQ20,其他,-0.17791975917340705
2024-06-11,LIQ20,其他,-0.13737349207387037
2024-07-09,LIQ20,其他,-0.014184310068958586
2024-08-06,LIQ20,其他,0.004460740999280413
2024-09-03,LIQ20,其他,0.05330413277806121
2024-10-10,LIQ20,其他,0.1960880050424315
2024-11-07,LIQ20,其他,0.20551790433547926
2023-01-10,GROWTH,其他,-0.11854058099574388
2023-02-14,GROWTH,其他,-0.08531738923192086
2023-03-14,GROWTH,其他,-0.10353985129866683
2023-04-12,GROWTH,其他,-0.06438353559555655
2023-05-15,GROWTH,其他,-0.024310957503275592
2023-06-12,GROWTH,其他,0.027395841133456906
2023-07-12,GROWTH,其他,-0.02000854785117716
2023-08-09,GROWTH,其他,-0.04876315892036637
2023-09-06,GROWTH,其他,-0.06426476126916561
2023-10-12,GROWTH,其他,-0.05745970486791362
2023-11-09,GROWTH,其他,-0.02565940450084253
2023-12-07,GROWTH,其他,-0.005758661739661741
2024-01-05,GROWTH,其他,0.0488561848089808
2024-02-02,GROWTH,其他,0.042457779931627415
2024-03-11,GROWTH,其他,0.04351687569200497
2024-04-10,GROWTH,其他,0.03042504163347644
2024-05-13,GROWTH,其他,-0.0001797372187891851
2024-06-11,GROWTH,其他,0.021365870044776747
2024-07-09,GROWTH,其他,-0.026820491715174238
2024-08-06,GROWTH,其他,-0.021793942772898516
2024-09-03,GROWTH,其他,-0.09633326051085188
