factor,group,first_half_ic,second_half_ic,raw_decay_rate,decay_rate,stability_score
EP,其他,0.014554494865017404,0.024701012404756525,-0.6971393141739135,0.0,1.0
BP,其他,0.061252474178388285,0.03318210936392186,0.4582730837938895,0.4582730837938895,0.5417269162061105
MOM20,因果显著组,0.0012089282266319714,0.023989833811644656,-18.84373004605778,0.0,1.0
MOM60,因果显著组,0.007272050518254119,0.03263083185854058,-3.487152132003243,0.0,1.0
ROE,IC显著组,-0.10718896879264897,-0.050959230456626446,0.5245850736650434,0.5245850736650434,0.47541492633495663
ROA,其他,-0.10718896879264897,-0.050959230456626446,0.5245850736650434,0.5245850736650434,0.47541492633495663
VOL20,其他,-0.06636603557577397,-0.054965152751153296,0.17178788830507655,0.17178788830507655,0.8282121116949235
TURN20,因果显著组,-0.030247627507800058,-0.04228982821380198,-0.398120372306649,0.0,1.0
LIQ20,其他,0.025849758351217385,-0.020822041615618198,0.19449755476676867,0.19449755476676867,0.8055024452332313
GROWTH,其他,-0.05316836826374292,-0.021444558407751835,0.5966668702706037,0.5966668702706037,0.4033331297293963
REV5,其他,0.02056908196252297,-0.03632684892688952,-0.7660895771712873,0.0,1.0
