trade_date,portfolio,gross_ret,cost,net_ret,benchmark_ret,turnover,n_long,n_short
2023-01-10,全因子等权,0.000985902727575004,0.0,0.000985902727575004,0.0629375522971761,0.5,30,30
2023-02-14,全因子等权,0.015054269201164596,0.0006900000000000001,0.014364269201164596,-0.024510596053927487,0.38333333333333336,30,30
2023-03-14,全因子等权,-0.07261543505266754,0.00078,-0.07339543505266755,0.06918142925391291,0.43333333333333335,30,30
2023-04-12,全因子等权,0.09639333097345902,0.00072,0.09567333097345902,-0.035719719274741414,0.4,30,30
2023-05-15,全因子等权,-0.08956964694238848,0.0008700000000000001,-0.09043964694238847,-0.03076547054545409,0.4833333333333334,30,30
2023-06-12,全因子等权,-0.011372938364442815,0.0009,-0.012272938364442815,-0.011407904567375896,0.5,30,30
2023-07-12,全因子等权,-0.020513820849432304,0.00078,-0.021293820849432304,0.026506946804920904,0.43333333333333335,30,30
2023-08-09,全因子等权,0.019018360429319675,0.0008400000000000001,0.018178360429319675,-0.0400558875657242,0.46666666666666673,30,30
2023-09-06,全因子等权,-0.020199744660458235,0.00075,-0.020949744660458236,-0.021268503659210628,0.4166666666666667,30,30
2023-10-12,全因子等权,-0.05467890563455101,0.00066,-0.05533890563455101,-0.007852461960878321,0.3666666666666667,30,30
2023-11-09,全因子等权,-0.021854447005472948,0.00078,-0.022634447005472947,-0.03174706862420162,0.43333333333333335,30,30
2023-12-07,全因子等权,0.08624678787059191,0.00072,0.08552678787059191,-0.030256067101325182,0.4,30,30
2024-01-05,全因子等权,0.051441865588739887,0.00066,0.050781865588739886,-0.08707166861553386,0.3666666666666667,30,30
2024-02-02,全因子等权,-0.13662563859074559,0.00072,-0.13734563859074558,0.17316229250804735,0.4,30,30
2024-03-11,全因子等权,0.026728152098586214,0.00066,0.026068152098586213,-0.029127180184019018,0.3666666666666667,30,30
2024-04-10,全因子等权,0.05792939014691719,0.0008100000000000001,0.05711939014691719,0.03986312384793832,0.45000000000000007,30,30
2024-05-13,全因子等权,-0.021160774580417083,0.00075,-0.021910774580417083,-0.04959657955384986,0.4166666666666667,30,30
2024-06-11,全因子等权,0.016232765311612732,0.00078,0.015452765311612732,-0.05663713222394203,0.43333333333333335,30,30
2024-07-09,全因子等权,-0.060564127937222295,0.0006299999999999999,-0.061194127937222294,-0.002362958670975972,0.35,30,30
2024-08-06,全因子等权,0.009973906380829994,0.00066,0.009313906380829993,-0.032082342120763864,0.3666666666666667,30,30
2024-09-03,全因子等权,-0.14285543021421318,0.00078,-0.14363543021421318,0.2571413283883,0.43333333333333335,30,30
2024-10-10,全因子等权,-0.2419865298282143,0.00069,-0.2426765298282143,0.1108750555342657,0.3833333333333333,30,30
2024-11-07,全因子等权,-0.008784449745038787,0.00066,-0.009444449745038788,-0.05722292994588641,0.3666666666666667,30,30
2023-01-10,因果显著因子,-0.01820379000206625,0.0,-0.01820379000206625,0.0629375522971761,0.5,30,30
2023-02-14,因果显著因子,0.06458939283079261,0.00111,0.06347939283079261,-0.024510596053927487,0.6166666666666667,30,30
2023-03-14,因果显著因子,0.07742199400462974,0.00108,0.07634199400462974,0.06918142925391291,0.6,30,30
