group,mean_decay_rate,std_decay_rate,median_decay_rate,mean_stability,std_stability,median_stability,n_factors
IC显著组,0.5245850736650434,,0.5245850736650434,0.47541492633495663,,0.47541492633495663,1
其他,0.2779729244001974,0.2475455592418031,0.19449755476676867,0.7220270755998026,0.2475455592418031,0.8055024452332313,7
因果显著组,0.0,0.0,0.0,1.0,0.0,1.0,3
